Image1	Optimal1	(meta) top alg1	Algs1	Image2	(meta) top alg2	Algs2	Recognition Notes	Best Alg Notes	Full Case Name	Parents
Pairs/quarters/tents										
	4	0,-1/-2,1/2,-1/3,0/0,1	0,-1/-2,1/2,-1/3,0/0,1 3,-1/-2,1/-3,0/2,-1/0,1 3,-1/-2,1/-1,2/0,-3/0,1				Bad tent/tent; aligning tents next to slice breaks squareshape.	Keep top tent on left with edge next to slice, send gem from bottom to form scottie/shell.	Left Tent / Right Tent	Left Scottie / Shell; Gem / Left Axe
	2	0,-1/-3,0/0,1	0,-1/-3,0/0,1 3,2/3,0/0,1 4,3/2,-1/0,1 so many others		0,-1/3,6/0,1	0,-1/3,6/0,1 3,2/-3,6/0,1 -2,-3/5,-4/0,1 4,3/-4,5/0,1 so many others	Good tent/tent; aligning tents next to slice preserves squareshape.	CO case; preserve blocks.	Left Tent / Left Tent	Left Kite / Left Kite
	3	1,0/-1,-4/1,4/-1,0	1,0/-1,-4/1,4/-1,0		1,0/-4,-1/1,4/-1,0	1,0/-4,-1/1,4/-1,0 -5,6/-1,-4/-5,-2/-1,0 -5,6/5,2/-2,-5/-1,0	Good tent/whale; splitting tent on top and sandwiched tent on bottom preserves squareshape.	Split tent on top and sandwiched tent on bottom, holding both tents in front.	Left Tent / Right Whale	Right Thumb / Right Thumb
	4	1,0/-4,-1/-3,0/4,1/-1,0	1,0/-4,-1/-3,0/4,1/-1,0				Bad tent/whale; splitting tent on top and sandwiched tent on bottom breaks squareshape.	Swap tent on top (so that it's not touching the slice) with same-colored spill on bottom (keeping shell on DL) to form spill/axe.	Left Tent / Left Whale	Left Spill / Left Axe; Right Bird / Left Scottie
	2	1,0/-3,0/-1,0	1,0/-3,0/-1,0 0,-1/-2,1/-1,0 -2,-3/0,3/-1,0 so many others		1,0/3,6/-1,0	1,0/3,6/-1,0 -2,-3/6,-3/-1,0 6,5/-5,4/-1,0 so many others	Good tent/tent; aligning tents next to slice preserves squareshape	CO case; preserve blocks.	Right Tent / Right Tent	Right Kite / Right Kite
	4	1,0/2,-1/-2,1/-3,0/-1,0	1,0/2,-1/-2,1/-3,0/-1,0 1,0/2,-1/-3,0/-2,1/-1,0 -2,0/2,-1/1,-2/0,3/-1,0 -2,0/2,-1/3,0/-2,1/-1,0				Bad tent/tent; aligning tents next to slice breaks squareshape.	Keep top tent on left with edge next to slice, send gem from bottom to form scottie/shell.	Right Tent / Left Tent	Right Scottie / Shell; Gem / Right Axe
	4	0,-1/4,1/3,0/-4,-1/0,1	0,-1/4,1/3,0/-4,-1/0,1				Bad tent/whale; splitting tent on top and sandwiched tent on bottom breaks squareshape.	Swap tent on top (so that it's not touching the slice) with same-colored spill on bottom (keeping shell on DL) to form spill/axe.	Right Tent / Right Whale	Right Spill / Right Axe; Left Bird / Right Scottie
	3	0,-1/1,4/-1,-4/0,1	0,-1/1,4/-1,-4/0,1				Good tent/whale; splitting tent on top and sandwiched tent on bottom preserves squareshape.	Split tent on top and sandwiched tent on bottom, holding both tents in front.	Right Tent / Left Whale	Left Thumb / Left Thumb
Arrows/whales										
	3	0,-1/4,1/-4,-1/0,1	0,-1/4,1/-4,-1/0,1				Good whale/tent; splitting sandwiched tent on top and tent on bottom preserves squareshape.	Split sandwiched tent on top and tent on bottom, holding both tents in front.	Left Whale / Right Tent	Left Thumb / Left Thumb
	4	1,0/-4,-1/3,0/4,1/-1,0	1,0/-4,-1/3,0/4,1/-1,0 4,0/-1,-4/0,-3/1,4/-1,0				Bad whale/tent; splitting sandwiched tent on top and tent on bottom breaks squareshape.	Keep only isolated corner on top, swapping isolated edge for same-color whale to form scottie/bird.	Left Whale / Left Tent	Left Scottie / Right Bird; Left Axe / Left Spill
	4	0,-1/3,0/-2,1/-3,0/-1,0	0,-1/3,0/-2,1/-3,0/-1,0 0,-1/3,0/-3,0/-2,1/-1,0 1,0/-3,0/-4,-1/-3,0/0,1				Bad whale/whale; whales are mirrors of each other.	Put top whale in UL and bottom whale in DR; either slice alignment will create scottie/shell.	Left Whale / Right Whale	Right Scottie / Shell; Left Scottie / Shell; Left Axe / Gem; Gem / Right Axe
	3	0,-1/-5,1/3,0/-1,0	0,-1/-5,1/3,0/-1,0 0,-1/-3,3/1,-2/-1,0 0,-1/3,-3/-2,1/-1,0 0,-1/4,-2/-3,0/-1,0 0,-1/-2,4/0,-3/-1,0				Good whale/whale; whales are the same as each other.	Swap both whales to form tent/tent.	Left Whale / Left Whale	Right Tent / Right Tent; Right Thumb / Right Thumb
	4	0,-1/1,4/0,3/-1,-4/0,1	0,-1/1,4/0,3/-1,-4/0,1 3,-1/4,1/-3,0/-4,-1/0,1				Bad whale/tent; splitting sandwiched tent on top and tent on bottom breaks squareshape.	Keep only isolated corner on top, swapping isolated edge for same-color whale to form scottie/bird.	Right Whale / Right Tent	Right Scottie / Left Bird; Right Axe / Right Spill
	3	1,0/-4,-1/4,1/-1,0	1,0/-4,-1/4,1/-1,0				Good whale/tent; splitting sandwiched tent on top and tent on bottom preserves squareshape.	Split sandwiched tent on top and tent on bottom, holding both tents in front.	Right Whale / Left Tent	Right Thumb / Right Thumb
